Protein,Partition_type,Curve_type,p_value,test_statistic,test_result,is_significant
HER3_pY1289,half,Disease_Free,0.359034119648,0.841268890091,Cannot Reject Null,False
HER3_pY1289,quarter,Disease_Free,0.254517460968,1.29833564577,Cannot Reject Null,False
HSP70,half,Overall,0.860653142055,0.0308152751988,Cannot Reject Null,False
HSP70,quarter,Overall,0.183078349818,1.77245658067,Cannot Reject Null,False
HSP70,half,Disease_Free,0.601692192054,0.272451221256,Cannot Reject Null,False
HSP70,quarter,Disease_Free,0.42150087853,0.646126756438,Cannot Reject Null,False
IGFBP2,half,Overall,0.0522644058822,3.76728487111,Cannot Reject Null,False
IGFBP2,quarter,Overall,0.159243568054,1.98139457702,Cannot Reject Null,False
IGFBP2,half,Disease_Free,0.912240393933,0.0121469216681,Cannot Reject Null,False
IGFBP2,quarter,Disease_Free,0.777858691042,0.0795864013352,Cannot Reject Null,False
INPP4B,half,Overall,0.183175288208,1.77167202397,Cannot Reject Null,False
INPP4B,quarter,Overall,0.60553893235,0.266722406517,Cannot Reject Null,False
INPP4B,half,Disease_Free,0.165981639231,1.91886678383,Cannot Reject Null,False
INPP4B,quarter,Disease_Free,0.475204789235,0.509847708736,Cannot Reject Null,False
IRS1,half,Overall,0.696529853393,0.152107060638,Cannot Reject Null,False
IRS1,quarter,Overall,0.747083385483,0.103998205067,Cannot Reject Null,False
IRS1,half,Disease_Free,0.642878396597,0.214997371659,Cannot Reject Null,False
IRS1,quarter,Disease_Free,0.604349799033,0.268485093865,Cannot Reject Null,False
JNK_pT183_pY185,half,Overall,0.195090223239,1.67875306513,Cannot Reject Null,False
JNK_pT183_pY185,quarter,Overall,0.063235215319,3.45043264673,Cannot Reject Null,False
JNK_pT183_pY185,half,Disease_Free,0.737856482684,0.112019581462,Cannot Reject Null,False
JNK_pT183_pY185,quarter,Disease_Free,0.476234835242,0.507472978588,Cannot Reject Null,False
JNK2,half,Overall,0.883814116758,0.0213556974773,Cannot Reject Null,False
JNK2,quarter,Overall,0.827820772797,0.0473050967935,Cannot Reject Null,False
JNK2,half,Disease_Free,0.615041160193,0.252898998722,Cannot Reject Null,False
JNK2,quarter,Disease_Free,0.828015650655,0.0471963748987,Cannot Reject Null,False
Ku80,half,Overall,0.333725685634,0.934386493015,Cannot Reject Null,False
Ku80,quarter,Overall,0.714136098151,0.134180728567,Cannot Reject Null,False
Ku80,half,Disease_Free,0.80871175027,0.0586067409871,Cannot Reject Null,False
Ku80,quarter,Disease_Free,0.560152349012,0.339440508748,Cannot Reject Null,False
Lck,half,Overall,0.760751199079,0.0927168871257,Cannot Reject Null,False
Lck,quarter,Overall,0.35630639721,0.85086978154,Cannot Reject Null,False
Lck,half,Disease_Free,0.983408427052,0.000432471610498,Cannot Reject Null,False
Lck,quarter,Disease_Free,0.135976309194,2.22291274898,Cannot Reject Null,False
LKB1,half,Overall,0.0180687033696,5.58947573081,Reject Null,True
LKB1,quarter,Overall,0.239618548347,1.38283667762,Cannot Reject Null,False
LKB1,half,Disease_Free,0.259661712873,1.27055966776,Cannot Reject Null,False
LKB1,quarter,Disease_Free,0.941462313703,0.00539226606264,Cannot Reject Null,False
MAPK_pT202_Y204,half,Overall,0.129105266179,2.30323010001,Cannot Reject Null,False
MAPK_pT202_Y204,quarter,Overall,0.250430531302,1.32090034237,Cannot Reject Null,False
MAPK_pT202_Y204,half,Disease_Free,0.251091701526,1.31721934577,Cannot Reject Null,False
MAPK_pT202_Y204,quarter,Disease_Free,0.369935469075,0.803881243586,Cannot Reject Null,False
MEK1,half,Overall,0.00769497123857,7.10312414816,Reject Null,True
MEK1,quarter,Overall,0.0324777046294,4.57310204002,Reject Null,True
MEK1,half,Disease_Free,0.779760507367,0.0781935789503,Cannot Reject Null,False
MEK1,quarter,Disease_Free,0.846661718972,0.0373956557499,Cannot Reject Null,False
MEK1_pS217_S221,half,Overall,0.0353622632228,4.42759689139,Reject Null,True
MEK1_pS217_S221,quarter,Overall,0.00814775035492,7.00070758779,Reject Null,True
MEK1_pS217_S221,half,Disease_Free,0.324047073341,0.972541820433,Cannot Reject Null,False
MEK1_pS217_S221,quarter,Disease_Free,0.514837028762,0.424223619433,Cannot Reject Null,False
MIG-6,half,Overall,0.350087094843,0.873141425635,Cannot Reject Null,False
MIG-6,quarter,Overall,0.01189445882,6.32653348968,Reject Null,True
MIG-6,half,Disease_Free,0.719487478851,0.128984305416,Cannot Reject Null,False
MIG-6,quarter,Disease_Free,0.573179771973,0.317391034944,Cannot Reject Null,False
Mre11,half,Overall,0.00710234204352,7.24690255085,Reject Null,True
Mre11,quarter,Overall,0.0041163590326,8.23176006241,Reject Null,True
Mre11,half,Disease_Free,0.57350875369,0.316846865378,Cannot Reject Null,False
Mre11,quarter,Disease_Free,0.436089802616,0.606549890091,Cannot Reject Null,False
mTOR,half,Overall,0.410786032019,0.676524624872,Cannot Reject Null,False
mTOR,quarter,Overall,0.691745985483,0.157201737736,Cannot Reject Null,False
mTOR,half,Disease_Free,0.375578355167,0.785124822387,Cannot Reject Null,False
mTOR,quarter,Disease_Free,0.735966563421,0.113703458752,Cannot Reject Null,False
mTOR_pS2448,half,Overall,0.191746754591,1.70414529048,Cannot Reject Null,False
mTOR_pS2448,quarter,Overall,0.354829861502,0.856108980451,Cannot Reject Null,False
mTOR_pS2448,half,Disease_Free,0.354500322881,0.857282360219,Cannot Reject Null,False
mTOR_pS2448,quarter,Disease_Free,0.992947383679,7.8132496929e-05,Cannot Reject Null,False
N-Cadherin,half,Overall,0.69188334116,0.157054104849,Cannot Reject Null,False
N-Cadherin,quarter,Overall,0.813916042996,0.0554023885385,Cannot Reject Null,False
N-Cadherin,half,Disease_Free,0.497308100012,0.460676242167,Cannot Reject Null,False
N-Cadherin,quarter,Disease_Free,0.908919341547,0.013087756148,Cannot Reject Null,False
NF-kB-p65_pS536,half,Overall,0.0286790858936,4.78677436964,Reject Null,True
NF-kB-p65_pS536,quarter,Overall,0.0678405158664,3.33451230789,Cannot Reject Null,False
NF-kB-p65_pS536,half,Disease_Free,0.877253407175,0.0238554000336,Cannot Reject Null,False
NF-kB-p65_pS536,quarter,Disease_Free,0.406839174978,0.688018518034,Cannot Reject Null,False
NF2,half,Overall,0.744834531433,0.105922852565,Cannot Reject Null,False
NF2,quarter,Overall,0.833313120276,0.0442910101851,Cannot Reject Null,False
NF2,half,Disease_Free,0.476709011197,0.506382592278,Cannot Reject Null,False
NF2,quarter,Disease_Free,0.289455090634,1.12215411055,Cannot Reject Null,False
Notch1,half,Overall,0.795280165486,0.0673196095608,Cannot Reject Null,False
Notch1,quarter,Overall,0.487546171651,0.481937157587,Cannot Reject Null,False
